username,repo_name,stars,repu_url
amphp,amp,3800,https://github.com/amphp/amp
danog,MadelineProto,2200,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,743,https://github.com/unreal4u/telegram-api
amphp,http-client,641,https://github.com/amphp/http-client
amphp,parallel,621,https://github.com/amphp/parallel
php-service-bus,service-bus,336,https://github.com/php-service-bus/service-bus
amphp,byte-stream,317,https://github.com/amphp/byte-stream
amphp,mysql,299,https://github.com/amphp/mysql
amphp,parallel-functions,237,https://github.com/amphp/parallel-functions
amphp,process,203,https://github.com/amphp/process
amphp,socket,178,https://github.com/amphp/socket
amphp,redis,134,https://github.com/amphp/redis
amphp,dns,130,https://github.com/amphp/dns
amphp,sync,129,https://github.com/amphp/sync
kelunik,acme,118,https://github.com/kelunik/acme
amphp,websocket-client,111,https://github.com/amphp/websocket-client
amphp,serialization,93,https://github.com/amphp/serialization
PeeHaa,mailgrab,92,https://github.com/PeeHaa/mailgrab
amphp,websocket-server,89,https://github.com/amphp/websocket-server
